# barcodes already looked up on Open Pet Food Facts (barcode;date;result) - delete a line to look it up again
3182550939638;2026-09-26;none
3182550939959;2026-09-26;none
3182550940214;2026-09-26;photo
3182550940269;2026-09-26;none
3182550940320;2026-09-26;none
3182550940382;2026-09-26;none
3182550940580;2026-09-26;none
3182550940849;2026-09-26;none
3182550944458;2026-09-26;none
3182551055672;2026-09-26;photo
3182551055825;2026-09-26;none
3182551055894;2026-09-26;none
3222270189927;2026-09-26;photo
3222270322409;2026-09-26;none
3222270550673;2026-09-26;photo
3222270551342;2026-09-26;none
3222270776431;2026-09-26;none
3222270889759;2026-09-26;photo
4002064412825;2026-09-26;none
4002064412962;2026-09-26;none
4002064413112;2026-09-26;none
4002064413143;2026-09-26;none
4002064414188;2026-09-26;none
4002064414201;2026-09-26;none
4002064414508;2026-09-26;none
4002064512273;2026-09-26;none
4002064512297;2026-09-26;none
4002064513003;2026-09-26;none
4002064513065;2026-09-26;none
4002633509024;2026-09-26;none
4002633509123;2026-09-26;none
4002633509222;2026-09-26;none
4002633509321;2026-09-26;none
4002633509529;2026-09-26;none
4002633509628;2026-09-26;none
4002633509727;2026-09-26;none
4002633513113;2026-09-26;none
4002633513144;2026-09-26;none
4002633513205;2026-09-26;none
4002633556127;2026-09-26;none
4002633556226;2026-09-26;none
4002633556325;2026-09-26;none
4002633556721;2026-09-26;none
4002633556820;2026-09-26;none
4002633557124;2026-09-26;none
4002633557223;2026-09-26;photo
4002633557322;2026-09-26;none
4002633557421;2026-09-26;none
4002633557520;2026-09-26;none
4002633557629;2026-09-26;none
4002633557728;2026-09-26;none
4002633557827;2026-09-26;none
4002633557926;2026-09-26;none
4002633558022;2026-09-26;none
4002633758019;2026-09-26;photo
4002633758132;2026-09-26;none
4002633758231;2026-09-26;none
4002633758521;2026-09-26;none
4002633758620;2026-09-26;none
4002633758828;2026-09-26;none
4002633758927;2026-09-26;none
4008239313195;2026-09-26;photo
4008239313225;2026-09-26;none
4008239313232;2026-09-26;none
4008239315342;2026-09-26;photo
4008239350855;2026-09-26;none
4008239352842;2026-09-26;none
4008239352903;2026-09-26;photo
4008239352958;2026-09-26;none
4008239585554;2026-09-26;none
4008239589781;2026-09-26;photo
4008239589798;2026-09-26;photo
4008239590138;2026-09-26;none
4008239590145;2026-09-26;none
4008239594105;2026-09-26;none
4008239594112;2026-09-26;none
4008239594709;2026-09-26;photo
4008429054112;2026-09-26;none
4008429070907;2026-09-26;none
4008429073281;2026-09-26;none
4008429073427;2026-09-26;none
4008429082917;2026-09-26;photo
4008429087240;2026-09-26;none
4008429087271;2026-09-26;none
4008429087851;2026-09-26;photo
4008429087950;2026-09-26;none
4008429088223;2026-09-26;none
4008429088711;2026-09-26;none
4008429092749;2026-09-26;photo
4008429092848;2026-09-26;none
4008429092954;2026-09-26;photo
4008429117640;2026-09-26;photo
4008429118579;2026-09-26;none
4008429123320;2026-09-26;none
4008429134869;2026-09-26;photo
4008429134951;2026-09-26;photo
4008429135446;2026-09-26;none
4008429146015;2026-09-26;none
4008429155932;2026-09-26;none
4008429155963;2026-09-26;photo
4008429156007;2026-09-26;none
4008429156700;2026-09-26;none
4008429159435;2026-09-26;photo
4008429159589;2026-09-26;none
4008429159640;2026-09-26;photo
4008429160264;2026-09-26;photo
4008429160318;2026-09-26;photo
4008429160646;2026-09-26;none
4008429163456;2026-09-26;none
4008429163494;2026-09-26;none
4008429163593;2026-09-26;none
4008429163647;2026-09-26;none
4008429164743;2026-09-26;none
4008429164804;2026-09-26;none
4008429165061;2026-09-26;none
4008429170157;2026-09-26;none
4008429171765;2026-09-26;none
4008429171772;2026-09-26;none
4008429171789;2026-09-26;none
4008429754319;2026-09-26;none
4011905421490;2026-09-26;none
4014355010351;2026-09-26;none
4014355030359;2026-09-26;none
4014355110358;2026-09-26;none
4014355170031;2026-09-26;none
4014355210041;2026-09-26;none
4014355220040;2026-09-26;none
4014355222440;2026-09-26;none
4014355222464;2026-09-26;none
4014355224413;2026-09-26;none
4014355224420;2026-09-26;none
4014355224437;2026-09-26;none
4014355224451;2026-09-26;none
4014355225519;2026-09-26;none
4014355225526;2026-09-26;none
4014355226806;2026-09-26;none
4014355230049;2026-09-26;none
4014355241045;2026-09-26;none
4014355242042;2026-09-26;none
4014355243049;2026-09-26;none
4014355244046;2026-09-26;none
4014355245043;2026-09-26;none
4014355246026;2026-09-26;none
4014355246125;2026-09-26;none
4014355260824;2026-09-26;none
4014355260923;2026-09-26;none
4014355261029;2026-09-26;none
4014355322560;2026-09-26;none
4014355323413;2026-09-26;none
4014355323826;2026-09-26;none
4014355324489;2026-09-26;none
4014355324496;2026-09-26;none
4014355327084;2026-09-26;none
4014355330534;2026-09-26;none
4014355341233;2026-09-26;none
4014355341356;2026-09-26;none
4014355342339;2026-09-26;none
4014355342346;2026-09-26;none
4014355342353;2026-09-26;none
4014355343152;2026-09-26;none
4014355343336;2026-09-26;none
4014355343350;2026-09-26;none
4014355400350;2026-09-26;none
4014355500357;2026-09-26;none
4014355504003;2026-09-26;none
4014355543507;2026-09-26;none
4014355600354;2026-09-26;none
4014355880350;2026-09-26;none
4015598014366;2026-09-26;none
4015598014373;2026-09-26;none
4015598014380;2026-09-26;none
4015598014397;2026-09-26;none
4015598015110;2026-09-26;none
4015598015172;2026-09-26;none
4015598015196;2026-09-26;none
4015598015233;2026-09-26;none
4015598015295;2026-09-26;none
4015598015318;2026-09-26;none
4015598015370;2026-09-26;none
4015598015394;2026-09-26;none
4015598015431;2026-09-26;none
4015598015493;2026-09-26;none
4015598015516;2026-09-26;none
4015598015554;2026-09-26;none
4015598015639;2026-09-26;none
4015598017916;2026-09-26;none
4015598017947;2026-09-26;none
4015598017978;2026-09-26;none
4015598018005;2026-09-26;none
4015598018036;2026-09-26;none
4015598018067;2026-09-26;none
4015598018098;2026-09-26;none
4015598018128;2026-09-26;none
4015598018159;2026-09-26;none
4015598018180;2026-09-26;none
4015598020640;2026-09-26;none
4015598020695;2026-09-26;none
4015598022972;2026-09-26;none
4015598023009;2026-09-26;none
4015598023573;2026-09-26;none
4260275020004;2026-09-26;none
4260275020189;2026-09-26;none
4260275020431;2026-09-26;none
4260275022015;2026-09-26;none
4260275022022;2026-09-26;none
4260275022039;2026-09-26;none
4260275022046;2026-09-26;none
4260275022169;2026-09-26;none
4260275022176;2026-09-26;none
4260275022213;2026-09-26;none
4260275022435;2026-09-26;none
4260275022749;2026-09-26;none
4260275022787;2026-09-26;none
4260275022794;2026-09-26;none
4260275022817;2026-09-26;none
4260275022831;2026-09-26;none
4260275024019;2026-09-26;none
4260275024026;2026-09-26;none
4260275024033;2026-09-26;none
4260275024040;2026-09-26;none
4260275024064;2026-09-26;none
4260275024071;2026-09-26;none
4260275024118;2026-09-26;none
4260275024125;2026-09-26;none
4260275024132;2026-09-26;none
4260275024163;2026-09-26;none
4260275024187;2026-09-26;none
4260275024194;2026-09-26;none
4260275025306;2026-09-26;none
4260275025313;2026-09-26;none
4260275025320;2026-09-26;none
4260275025337;2026-09-26;none
4260275025344;2026-09-26;none
4260275025351;2026-09-26;none
4260275026112;2026-09-26;none
4260275026129;2026-09-26;none
4260275026686;2026-09-26;none
4260275026709;2026-09-26;none
4260275026723;2026-09-26;none
4260275026761;2026-09-26;none
4260275026785;2026-09-26;none
4260275026822;2026-09-26;none
4260275026846;2026-09-26;none
4260275026884;2026-09-26;none
4260275026907;2026-09-26;none
4260275026952;2026-09-26;none
4260275026990;2026-09-26;none
4260275027010;2026-09-26;none
4260275027027;2026-09-26;none
4260275027034;2026-09-26;none
4260275027041;2026-09-26;none
4260275027058;2026-09-26;none
4260275027232;2026-09-26;none
4260275027256;2026-09-26;none
4260275027270;2026-09-26;none
4260275027294;2026-09-26;none
4260275027348;2026-09-26;none
4260275027409;2026-09-26;none
4260275027423;2026-09-26;none
4260275027447;2026-09-26;none
4260275027461;2026-09-26;none
4260275027485;2026-09-26;none
4260275027508;2026-09-26;none
4260275027522;2026-09-26;none
4260275027546;2026-09-26;none
4260275027560;2026-09-26;none
4260275027584;2026-09-26;none
4260275027607;2026-09-26;none
4260275027621;2026-09-26;none
4260275027645;2026-09-26;none
4260275027669;2026-09-26;none
4260275027683;2026-09-26;none
4260275027706;2026-09-26;none
4260275027720;2026-09-26;none
4260275028000;2026-09-26;none
4260275028321;2026-09-26;none
4260275028338;2026-09-26;none
4260275028369;2026-09-26;none
4260275028376;2026-09-26;none
4260275028413;2026-09-26;none
4260275028420;2026-09-26;none
4260275028437;2026-09-26;none
4260275028444;2026-09-26;none
4260275028468;2026-09-26;none
4260275028512;2026-09-26;none
4262365730596;2026-09-26;none
4262365730602;2026-09-26;none
4262365730626;2026-09-26;none
4262365730640;2026-09-26;none
4770608231484;2026-09-26;none
4770608244163;2026-09-26;photo
4770608253608;2026-09-26;photo
4770608254353;2026-09-26;photo
4770608255886;2026-09-26;photo
4770608261245;2026-09-26;none
4770608262044;2026-09-26;photo
4770608262051;2026-09-26;photo
4770608262068;2026-09-26;none
4770608262112;2026-09-26;none
4770608262129;2026-09-26;none
4770608262150;2026-09-26;none
4770608263348;2026-09-26;none
4770608263492;2026-09-26;photo
4770608265113;2026-09-26;photo
4770608267193;2026-09-26;none
4770608267216;2026-09-26;none
4770608267384;2026-09-26;none
4770608267407;2026-09-26;none
4770608267421;2026-09-26;none
4805388398277;2026-09-26;none
4805388398291;2026-09-26;none
